code,rate,base_rate_code,date
AED,4.264237,EUR,2021-10-15
AFN,103.72727,EUR,2021-10-15
ALL,121.7821,EUR,2021-10-15
AMD,555.400327,EUR,2021-10-15
ANG,2.084179,EUR,2021-10-15
AOA,693.870477,EUR,2021-10-15
ARS,115.143879,EUR,2021-10-15
AUD,1.563877,EUR,2021-10-15
AWG,2.090209,EUR,2021-10-15
AZN,1.971527,EUR,2021-10-15
BAM,1.956091,EUR,2021-10-15
BBD,2.344361,EUR,2021-10-15
BDT,99.359417,EUR,2021-10-15
BGN,1.957187,EUR,2021-10-15
BHD,0.437571,EUR,2021-10-15
BIF,2318.326855,EUR,2021-10-15
BMD,1.160905,EUR,2021-10-15
BND,1.565167,EUR,2021-10-15
BOB,8.023013,EUR,2021-10-15
BRL,6.320198,EUR,2021-10-15
BSD,1.16108,EUR,2021-10-15
BTC,1.94E-05,EUR,2021-10-15
BTN,87.029582,EUR,2021-10-15
BWP,13.00207,EUR,2021-10-15
BYN,2.85228,EUR,2021-10-15
BYR,22753.73378,EUR,2021-10-15
BZD,2.340441,EUR,2021-10-15
CAD,1.434919,EUR,2021-10-15
CDF,2334.579667,EUR,2021-10-15
CHF,1.071834,EUR,2021-10-15
CLF,0.034576,EUR,2021-10-15
CLP,954.730647,EUR,2021-10-15
CNY,7.470657,EUR,2021-10-15
COP,4363.608904,EUR,2021-10-15
CRC,729.330124,EUR,2021-10-15
CUC,1.160905,EUR,2021-10-15
CUP,30.763977,EUR,2021-10-15
CVE,110.819709,EUR,2021-10-15
CZK,25.387784,EUR,2021-10-15
DJF,206.707767,EUR,2021-10-15
DKK,7.440822,EUR,2021-10-15
DOP,65.533522,EUR,2021-10-15
DZD,159.309798,EUR,2021-10-15
EGP,18.247127,EUR,2021-10-15
ERN,17.41501,EUR,2021-10-15
ETB,54.156685,EUR,2021-10-15
EUR,1,EUR,2021-10-15
FJD,2.443671,EUR,2021-10-15
FKP,0.851201,EUR,2021-10-15
GBP,0.84295,EUR,2021-10-15
GEL,3.633432,EUR,2021-10-15
GGP,0.851201,EUR,2021-10-15
GHS,7.040892,EUR,2021-10-15
GIP,0.851201,EUR,2021-10-15
GMD,60.251851,EUR,2021-10-15
GNF,11324.6264,EUR,2021-10-15
GTQ,8.984172,EUR,2021-10-15
GYD,242.692498,EUR,2021-10-15
HKD,9.030353,EUR,2021-10-15
HNL,28.064829,EUR,2021-10-15
HRK,7.511166,EUR,2021-10-15
HTG,115.53193,EUR,2021-10-15
HUF,359.166507,EUR,2021-10-15
IDR,16314.71734,EUR,2021-10-15
ILS,3.740331,EUR,2021-10-15
IMP,0.851201,EUR,2021-10-15
INR,87.021945,EUR,2021-10-15
IQD,1694.920985,EUR,2021-10-15
IRR,48990.18155,EUR,2021-10-15
ISK,149.431884,EUR,2021-10-15
JEP,0.851201,EUR,2021-10-15
JMD,174.527988,EUR,2021-10-15
JOD,0.82313,EUR,2021-10-15
JPY,132.41686,EUR,2021-10-15
KES,128.742807,EUR,2021-10-15
KGS,98.438218,EUR,2021-10-15
KHR,4736.49133,EUR,2021-10-15
KMF,493.384551,EUR,2021-10-15
KPW,1044.813958,EUR,2021-10-15
KRW,1372.514656,EUR,2021-10-15
KWD,0.350245,EUR,2021-10-15
KYD,0.96755,EUR,2021-10-15
KZT,494.835977,EUR,2021-10-15
LAK,11754.16082,EUR,2021-10-15
LBP,1775.023303,EUR,2021-10-15
LKR,234.536158,EUR,2021-10-15
LRD,193.116338,EUR,2021-10-15
LSL,17.185776,EUR,2021-10-15
LTL,3.42785,EUR,2021-10-15
LVL,0.70222,EUR,2021-10-15
LYD,5.282426,EUR,2021-10-15
MAD,10.51201,EUR,2021-10-15
MDL,20.088278,EUR,2021-10-15
MGA,4579.769037,EUR,2021-10-15
MKD,61.623216,EUR,2021-10-15
MMK,2223.450251,EUR,2021-10-15
MNT,3309.651831,EUR,2021-10-15
MOP,9.303499,EUR,2021-10-15
MRO,414.442808,EUR,2021-10-15
MUR,49.977013,EUR,2021-10-15
MVR,17.935745,EUR,2021-10-15
MWK,947.878167,EUR,2021-10-15
MXN,23.754548,EUR,2021-10-15
MYR,4.822366,EUR,2021-10-15
MZN,74.099891,EUR,2021-10-15
NAD,17.169627,EUR,2021-10-15
NGN,476.981285,EUR,2021-10-15
NIO,40.805838,EUR,2021-10-15
NOK,9.75423,EUR,2021-10-15
NPR,139.245971,EUR,2021-10-15
NZD,1.641833,EUR,2021-10-15
OMR,0.446911,EUR,2021-10-15
PAB,1.16108,EUR,2021-10-15
PEN,4.551375,EUR,2021-10-15
PGK,4.103856,EUR,2021-10-15
PHP,58.868905,EUR,2021-10-15
PKR,197.936333,EUR,2021-10-15
PLN,4.561102,EUR,2021-10-15
PYG,8011.188594,EUR,2021-10-15
QAR,4.226829,EUR,2021-10-15
RON,4.948244,EUR,2021-10-15
RSD,117.595679,EUR,2021-10-15
RUB,82.465449,EUR,2021-10-15
RWF,1160.904784,EUR,2021-10-15
SAR,4.35436,EUR,2021-10-15
SBD,9.350898,EUR,2021-10-15
SCR,15.027152,EUR,2021-10-15
SDG,511.383532,EUR,2021-10-15
SEK,10.008363,EUR,2021-10-15
SGD,1.564273,EUR,2021-10-15
SHP,1.599029,EUR,2021-10-15
SLL,12363.63628,EUR,2021-10-15
SOS,680.29032,EUR,2021-10-15
SRD,24.773127,EUR,2021-10-15
STD,24028.38518,EUR,2021-10-15
SVC,10.159611,EUR,2021-10-15
SYP,1459.224837,EUR,2021-10-15
SZL,17.169505,EUR,2021-10-15
THB,38.738811,EUR,2021-10-15
TJS,13.12705,EUR,2021-10-15
TMT,4.063167,EUR,2021-10-15
TND,3.280135,EUR,2021-10-15
TOP,2.615049,EUR,2021-10-15
TRY,10.673022,EUR,2021-10-15
TTD,7.893542,EUR,2021-10-15
TWD,32.479214,EUR,2021-10-15
TZS,2675.885191,EUR,2021-10-15
UAH,30.635085,EUR,2021-10-15
UGX,4191.66029,EUR,2021-10-15
USD,1.160905,EUR,2021-10-15
UYU,50.843618,EUR,2021-10-15
UZS,12421.68093,EUR,2021-10-15
VEF,248236528173,EUR,2021-10-15
VND,26426.13326,EUR,2021-10-15
VUV,130.365466,EUR,2021-10-15
WST,2.991644,EUR,2021-10-15
XAF,655.985131,EUR,2021-10-15
XAG,0.049622,EUR,2021-10-15
XAU,0.000654,EUR,2021-10-15
XCD,3.137403,EUR,2021-10-15
XDR,0.822135,EUR,2021-10-15
XOF,655.334471,EUR,2021-10-15
XPF,119.97914,EUR,2021-10-15
YER,290.516087,EUR,2021-10-15
ZAR,16.96442,EUR,2021-10-15
ZMK,10449.53287,EUR,2021-10-15
ZMW,19.953815,EUR,2021-10-15
ZWL,373.810867,EUR,2021-10-15